Timestamp                       Thread     Type        Activity             PID    TTL  
2026-04-24 00:27:56.182695-0500 0x238      Default     0x0                  1      0    launchd: [pid/166 [WindowServer]:] Service stub created for com.apple.appkit.xpc.defaultSyncService
2026-04-24 00:27:56.182699-0500 0x238      Default     0x0                  1      0    launchd: [pid/166 [WindowServer]:] Service stub created for com.apple.appkit.xpc.documentPopoverViewService
2026-04-24 00:27:56.182703-0500 0x238      Default     0x0                  1      0    launchd: [pid/166 [WindowServer]:] Service stub created for com.apple.appkit.xpc.LegacyExternalColorPickerService.arm64
2026-04-24 00:27:56.182706-0500 0x238      Default     0x0                  1      0    launchd: [pid/166 [WindowServer]:] Service stub created for com.apple.appkit.xpc.LegacyExternalColorPickerService.x86_64
2026-04-24 00:27:56.182709-0500 0x238      Default     0x0                  1      0    launchd: [pid/166 [WindowServer]:] Service stub created for com.apple.MediaLibraryBrowser
2026-04-24 00:27:56.182713-0500 0x238      Default     0x0                  1      0    launchd: [pid/166 [WindowServer]:] Service stub created for com.apple.appkit.xpc.sandboxedServiceRunner
2026-04-24 00:27:56.182717-0500 0x238      Default     0x0                  1      0    launchd: [pid/166 [WindowServer]:] Service stub created for com.apple.appkit.xpc.ThemeWidgetControlViewService
2026-04-24 00:27:56.182720-0500 0x238      Default     0x0                  1      0    launchd: [pid/166 [WindowServer]:] Service stub created for com.apple.xpc.TypographyPanelService
2026-04-24 00:27:56.182723-0500 0x238      Default     0x0                  1      0    launchd: [pid/166 [WindowServer]:] Service stub created for com.apple.automator.xpc.workflowServiceRunner
2026-04-24 00:27:56.182726-0500 0x238      Default     0x0                  1      0    launchd: [pid/166 [WindowServer]:] Service stub created for com.apple.appkit.xpc.VersionsUIHelper
2026-04-24 00:27:56.182729-0500 0x238      Default     0x0                  1      0    launchd: [pid/166 [WindowServer]:] Service stub created for com.apple.appkit.xpc.openAndSavePanelService
2026-04-24 00:27:56.182842-0500 0x238      Default     0x0                  1      0    launchd: [pid/166 [WindowServer]:] Service stub created for com.apple.PerfPowerTelemetryClientRegistrationService
2026-04-24 00:27:56.182923-0500 0x238      Default     0x0                  1      0    launchd: [pid/166 [WindowServer]:] Service stub created for com.apple.StreamingUnzipService.privileged
2026-04-24 00:27:56.182928-0500 0x238      Default     0x0                  1      0    launchd: [pid/166 [WindowServer]:] Service stub created for com.apple.StreamingUnzipService
2026-04-24 00:27:56.183068-0500 0x238      Default     0x0                  1      0    launchd: [pid/166 [WindowServer]:] Service stub created for com.apple.textkit.nsattributedstringagent
2026-04-24 00:27:56.183108-0500 0x238      Default     0x0                  1      0    launchd: [pid/166 [WindowServer]:] Service stub created for com.apple.speech.SpeechSynthesisServerXPC
2026-04-24 00:27:56.183187-0500 0x238      Default     0x0                  1      0    launchd: [pid/166 [WindowServer]:] Service stub created for com.apple.ImageIOXPCService
2026-04-24 00:27:56.183348-0500 0x238      Default     0x0                  1      0    launchd: [pid/166 [WindowServer]:] Service stub created for com.apple.CoreGraphics.CGPDFService
2026-04-24 00:27:56.183367-0500 0x238      Default     0x0                  1      0    launchd: [pid/166 [WindowServer]:] Service stub created for com.apple.foundation.UserScriptService
2026-04-24 00:27:56.183479-0500 0x238      Default     0x0                  1      0    launchd: [pid/166 [WindowServer]:] Service stub created for com.apple.extensionkitservice
2026-04-24 00:27:56.183492-0500 0x238      Default     0x0                  1      0    launchd: [pid/166 [WindowServer]:] Service stub created for com.apple.audio.Core-Audio-Driver-Service.helper
